"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Galan","mean_Female_Galan","mean_other_Galan","sd_Male_Galan","sd_Female_Galan","sd_other_Galan","mean_Fruits_galan","mean_Seeds_galan","mean_Leaves_galan","mean_Flowers_galan","mean_Animal_galan","sd_Fruits_galan","sd_Seeds_galan","sd_Leaves_galan","sd_Flowers_galan","sd_Animals_galan","IVSO_prop","IVSOint","superfamily"
"342","pop","Gorilla_gorilla","Western Lowland Gorilla","Mbeli Bai, Congo","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,7,NA,NA,1,NA,15,3,2,NA,1,NA,NA,NA,NA,NA,21,2,"wp","MFF","MFF",0.714285714,"groups","one","none","BOTH",NA,NA,NA,NA,NA,NA,14.7,NA,2,NA,NA,NA,NA,NA,NA,NA,0.285714286,6,"Hominoidea"
"343","pop","Gorilla_gorilla","Western Lowland Gorilla","Odzala National Park, Congo","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,2,NA,NA,6,NA,30,NA,6,NA,3,NA,NA,NA,NA,NA,42,2,"wp","MFF","MFF",0.714285714,"groups","one","none","BOTH",NA,NA,NA,NA,NA,NA,14.7,NA,2,NA,NA,NA,NA,NA,NA,NA,0.285714286,12,"Hominoidea"
"344","pop","Gorilla_gorilla","Western Lowland Gorilla","Batéké Plateau, Congo","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA,NA,NA,NA,4,1,"wp","FFMM","FFMM",0.5,"groups","one","none","BOTH",NA,NA,NA,NA,NA,NA,14.7,NA,2,NA,NA,NA,NA,NA,NA,NA,0.5,2,"Hominoidea"
"345","pop","Gorilla_gorilla","Western Lowland Gorilla","Batéké Plateau, Gabon","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,2,"wp","FFMM","FFMM",0.666666667,"groups","one","none","BOTH",NA,NA,NA,NA,NA,NA,14.7,NA,2,NA,NA,NA,NA,NA,NA,NA,0.333333333,0,"Hominoidea"
"347","pop","Hapalemur_alaotrensis","Lac Alaotra Gentle Lemur","Lake Alaotra, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,11,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,23,2,"wp","MF","MF",0.4782608,"groups","one","none","AR",NA,NA,1.239,NA,NA,NA,NA,2.1,48.3,0.1,NA,NA,NA,NA,NA,NA,0.5217392,12,"Lemuroidea"
"349","pop","Hapalemur_aureus","Golden Bamboo Lemur","Ranomafana, Madagascar","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MF","MF",1,"groups","one","none","AR",1.52,1.39,1.515,NA,NA,0.091923882,4,NA,91,1,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"351","pop","Hapalemur_griseus","Gray Bamboo Lemur","Ranomafana, Madagascar","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MFF","MFF",1,"groups","one","none","AR",0.8675,0.7865,0.823333333,0.168998521,0.16475588,0.120554275,5,NA,92,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"353","pop","Hapalemur_meridionalis","Southern Bamboo Lemur","Madena Littoral Forest, Madagascar","Forest",0,1,"closed",1,"Cathemeral_Diurnal",NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,4,1,"wp","FFMM","FFMM",0.5,"groups","one","none","AR",1.06875,1.075,0.961,NA,NA,0.156977705,18.58,NA,43.03,12.78,NA,NA,NA,NA,NA,NA,0.5,2,"Lemuroidea"
"356","pop","Hoolock_hoolock","Western Hoolock Gibbon","Chunati, Bengladesh","Forest",0,1,"closed",1,"Diurnal",2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"none","MF","MF",1,"groups","one","none","AR",6.87,6.88,6.88,NA,NA,NA,62,2,27,4,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"357","pop","Hoolock_hoolock","Western Hoolock Gibbon","Assam, India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"none","MF","MF",1,"groups","one","none","AR",6.87,6.88,6.88,NA,NA,NA,62,2,27,4,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
